id,title,metadata,pdf_url,toc_pdf,abstract_url,image_url
OP242(T),商談理性與刑事庭審實質化改革研究：基於刑法與刑事訴訟法交叉的視角[繁體中文],"(A Study on the Rationality of Negotiation and the Substantive Reform of Criminal Trials: Based on the Intersection of Criminal Law and Criminal Procedure Law) [Traditional Chinese]
JIA Jian
Chinese/21.5 x 14 cm/paperback/ii+21 pages/published in June 2020
ISBN 978-962-441-242-0",https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2023/07/OP242_T.pdf,,,https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2024/01/OP242_T.jpg
OP242(S),商谈理性与刑事庭审实质化改革研究：基于刑法与刑事诉讼法交叉的视角[简体中文],"(A Study on the Rationality of Negotiation and the Substantive Reform of Criminal Trials: Based on the Intersection of Criminal Law and Criminal Procedure Law) [Simplified Chinese]
JIA Jian
Chinese/21.5 x 14 cm/paperback/ii+21 pages/published in June 2020
ISBN 978-962-441-242-0",https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2023/07/OP242_S.pdf,,,https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2024/01/OP242_S.jpg
PF20,香港青年到內地發展的政策落差與優化,"(Policy on the Personal and Career Development of Hong Kong Youth on the Mainland: Gaps and Areas of Improvement)
Edited by Anthony Ying-him FUNG, Victor Wan-tai ZHENG, Po-san WAN and Sally Ka-wing LO
Chinese/21.0 x 29.7 cm/paperback/45 + iv pages/published in March 2020
ISBN 978-962-441-903-0",https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2023/06/20200311-154019_2_pf20.pdf,https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2023/06/PF20-TOC.pdf,,https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2024/01/PF20.jpg
RM110,《2015 香港區議會選舉：民意調查與分析》,"(2015 Hong Kong District Council Election: Opinion Polls and Analysis)
鄭宏泰、尹寶珊、黃子為
(By Victor Wan-tai ZHENG, Po-san WAN and Kevin Tse-wai WONG )
Chinese/21.5 x 14 cm/paperback/xv + 308 pages/
published in November 2019
ISBN 978-962-441-610-7; list price: US$15.00 (HK$100.00)",https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2023/06/RM110.pdf,https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2023/06/RM110-TOC.pdf,https://www.hkiaps.cuhk.edu.hk/%e3%80%8a2015-%e9%a6%99%e6%b8%af%e5%8d%80%e8%ad%b0%e6%9c%83%e9%81%b8%e8%88%89%ef%bc%9a%e6%b0%91%e6%84%8f%e8%aa%bf%e6%9f%a5%e8%88%87%e5%88%86%e6%9e%90%e3%80%8b,https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2024/01/RM110.jpg
PRR01,The Belt and Road Initiative and Global Competitiveness: A Longitudinal Developmental Comparison between Economies,"By Victor ZHENG and Hua GUO
English/21.0 x 29.7 cm/paperback/32 + vi pages/published in November 2019
ISBN 978-962-441-821-7",https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2024/07/20191125-143504_2_policy_research_report_01.pdf,https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2023/07/PRR01-TOC.pdf,,https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2024/01/PRR01.jpg
OP241,The Making of Ethnic Movements in Taiwan: Origins and Impacts,"Hsin-Huang Michael HSIAO
English/21.5 x 14 cm/paperback/ii+22 pages/published in April 2019
ISBN 978-962-441-241-3; list price: US$2.50 (HK$15.00)",,,https://www.hkiaps.cuhk.edu.hk/the-making-of-ethnic-movements-in-taiwan-origins-and-impacts,https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2024/01/OP241.jpg
RM109,《香港新青年》,"(Hong Kong New Youth)
鄭宏泰、尹寶珊
(By Victor Wan-tai ZHENG and Po-san WAN)
Chinese/21.5 x 14 cm/paperback/xiii + 266 pages/
published in February 2019
ISBN 978-962-441-609-1; list price: US$12.00 (HK$80.00)",https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2023/07/RM109.pdf,https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2023/07/RM109-TOC.pdf,https://www.hkiaps.cuhk.edu.hk/%e3%80%8a%e9%a6%99%e6%b8%af%e6%96%b0%e9%9d%92%e5%b9%b4%e3%80%8b,https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2024/01/RM109.jpg
OP240,地方法院內部審判規則的治理：功能分析的視角,"(Governance of the Internal Adjudication Rules of the Local Courts: A Functional Perspective)
Dajun QIAN and Hang SU
Chinese/21.5 x 14 cm/paperback/ii+26 pages/published in October 2018
ISBN 978-962-441-240-6; list price: US$2.50 (HK$15.00)",,,https://www.hkiaps.cuhk.edu.hk/%e5%9c%b0%e6%96%b9%e6%b3%95%e9%99%a2%e5%85%a7%e9%83%a8%e5%af%a9%e5%88%a4%e8%a6%8f%e5%89%87%e7%9a%84%e6%b2%bb%e7%90%86%ef%bc%9a%e5%8a%9f%e8%83%bd%e5%88%86%e6%9e%90%e7%9a%84%e8%a6%96%e8%a7%92,https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2024/01/OP240.jpg
RM108,《中國效應：台港民眾的觀感》,"(The “China Impact”: Public Perceptions in Taiwan and Hong Kong)
張茂桂、尹寶珊、陳志柔、鄭宏泰編
(Edited by Mau-kuei CHANG, Po-san WAN, Chih-jou CHEN and Victor Wan-tai ZHENG)
Chinese/21.5 x 14 cm/paperback/xvi + 344 pages/
published in September 2018
ISBN 978-962-441-608-4; list price: US$12.00 (HK$80.00)",https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2023/07/RM108.pdf,https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2023/07/RM108-TOC.pdf,https://www.hkiaps.cuhk.edu.hk/%e3%80%8a%e4%b8%ad%e5%9c%8b%e6%95%88%e6%87%89%ef%bc%9a%e5%8f%b0%e6%b8%af%e6%b0%91%e7%9c%be%e7%9a%84%e8%a7%80%e6%84%9f%e3%80%8b,https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2024/01/RM108.jpg
RM107,《客家人 客家事》,"(Hakka Happenings: Personal and Scholarly Accounts
of the Lives of the Hakka People)
張妙清 編
(Edited by Fanny M. CHEUNG)
Chinese/21.5 x 14 cm/paperback/ix + 214 pages/
published in May 2018
ISBN 978-962-441-607-7; list price: US$10.50 (HK$70.00)",https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2023/07/RM107.pdf,https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2023/07/RM107-TOC.pdf,https://www.hkiaps.cuhk.edu.hk/%e3%80%8a%e5%ae%a2%e5%ae%b6%e4%ba%ba-%e5%ae%a2%e5%ae%b6%e4%ba%8b%e3%80%8b,https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2024/01/RM107.jpg
